ticker,CSIIGL Index,GSUSCAI Index,GSCNCAI Index,WRAIRISK Index,VIX Index,FEDL01 Index,USGG10YR Index,XAU BGN Curncy,GSUSFCI Index,GSCNFCI Index,GSGLCAI Index
field,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST
date,,,,,,,,,,,
1983-10-07,,,,,,9.38,11.368,397.4,,,
1983-10-10,,,,,,9.38,,401.0,,,
1983-10-11,,,,,,9.56,11.547,399.0,,,
1983-10-12,,,,,,9.67,11.536,394.75,,,
1983-10-13,,,,,,9.51,11.611,398.65,,,
1983-10-14,,,,,,9.31,11.441,398.75,,,
1983-10-17,,,,,,9.33,11.43,395.0,,,
1983-10-18,,,,,,9.29,11.483,397.25,,,
1983-10-19,,,,,,9.49,11.477,394.0,,,
1983-10-20,,,,,,9.44,11.44,389.75,,,
1983-10-21,,,,,,9.36,11.568,394.25,,,
1983-10-24,,,,,,9.47,11.637,394.5,,,
1983-10-25,,,,,,9.3,11.642,398.0,,,
1983-10-26,,,,,,9.23,11.674,392.6,,,
1983-10-27,,,,,,9.4,11.631,384.5,,,
1983-10-28,,,,,,9.31,11.61,387.75,,,
1983-10-31,,,,,,9.43,11.717,382.0,,,
1983-11-01,,6.75,,,,9.45,11.663,377.75,,,
1983-11-02,,7.19,,,,9.57,11.663,383.0,,,
1983-11-03,,,,,,9.53,11.717,377.75,,,
1983-11-04,,,,,,9.32,11.804,381.0,,,
1983-11-07,,,,,,9.38,11.804,379.5,,,
1983-11-08,,,,,,9.25,,382.25,,,
1983-11-09,,,,,,9.42,11.817,383.0,,,
1983-11-10,,,,,,9.38,11.602,381.8,,,
1983-11-11,,,,,,9.38,,382.0,,,
1983-11-14,,,,,,9.37,11.677,382.6,,,
1983-11-15,,,,,,9.5,11.645,383.25,,,
1983-11-16,,,,,,9.54,11.666,383.25,,,
1983-11-17,,,,,,9.45,11.698,375.75,,,
1983-11-18,,,,,,9.23,11.655,375.25,,,
1983-11-21,,,,,,9.24,11.600999999999999,374.5,,,
1983-11-22,,,,,,9.07,11.547,376.5,,,
1983-11-23,,,,,,9.35,11.558,375.75,,,
1983-11-24,,,,,,9.35,,375.5,,,
1983-11-25,,,,,,9.24,11.52,376.1,,,
1983-11-28,,,,,,9.23,11.589,394.25,,,
1983-11-29,,,,,,9.27,11.557,391.5,,,
1983-11-30,,,,,,9.34,11.589,405.0,,,
1983-12-01,,7.44,,,,9.46,11.61,399.25,,,
1983-12-02,,8.02,,,,9.51,11.739,400.75,,,
1983-12-05,,,,,,9.55,11.733,397.25,,,
1983-12-06,,,,,,9.38,11.749,397.0,,,
1983-12-07,,,,,,9.52,11.76,399.75,,,
1983-12-08,,,,,,9.56,11.847,401.0,,,
1983-12-09,,,,,,9.43,11.825,388.75,,,
1983-12-12,,,,,,9.53,11.863,391.25,,,
1983-12-13,,,,,,9.5,11.912,389.2,,,
1983-12-14,,,,,,9.74,11.967,389.0,,,
1983-12-15,,,,,,9.94,11.89,388.75,,,
1983-12-16,,,,,,9.73,11.857,377.25,,,
1983-12-19,,,,,,9.66,11.802,375.0,,,
1983-12-20,,,,,,9.43,11.873,378.1,,,
1983-12-21,,,,,,9.13,11.785,378.6,,,
1983-12-22,,,,,,9.35,11.742,378.9,,,
1983-12-23,,,,,,8.66,11.769,,,,
1983-12-26,,,,,,8.66,,,,,
1983-12-27,,,,,,9.06,11.725,,,,
1983-12-28,,,,,,9.7,11.758,378.0,,,
1983-12-29,,,,,,10.61,11.758,382.4,,,
1983-12-30,,,,,,9.92,11.801,,,,
1984-01-02,,8.37,,,,9.92,,,,,
1984-01-03,,7.63,,,,10.15,11.823,383.0,,,
1984-01-04,,,,,,9.96,11.746,374.0,,,
1984-01-05,,,,,,9.62,11.757,375.25,,,
1984-01-06,,,,,,9.43,11.757,375.25,,,
1984-01-09,,,,,,9.55,11.724,365.25,,,
1984-01-10,,,,,,9.42,11.713,371.25,,,
1984-01-11,,,,,,9.83,11.729,367.75,,,
1984-01-12,,,,,,9.61,11.735,368.5,,,
1984-01-13,,,,,,9.4,11.551,373.25,,,
1984-01-16,,,,,,9.51,11.519,370.25,,,
1984-01-17,,,,,,9.45,11.551,367.75,,,
1984-01-18,,,,,,10.04,11.594,368.25,,,
1984-01-19,,,,,,9.63,11.551,374.75,,,
1984-01-20,,,,,,9.48,11.615,371.25,,,
1984-01-23,,,,,,9.66,11.583,371.35,,,
1984-01-24,,,,,,9.57,11.61,365.1,,,
1984-01-25,,,,,,9.44,11.626,366.5,,,
1984-01-26,,,,,,9.48,11.593,367.0,,,
1984-01-27,,,,,,9.31,11.593,370.0,,,
1984-01-30,,,,,,9.34,11.626,369.85,,,
1984-01-31,,,,,,9.35,11.642,373.75,,,
1984-02-01,,6.55,,,,9.74,11.604,378.15,,,
1984-02-02,,7.55,,,,9.6,11.593,383.25,,,
1984-02-03,,,,,,9.51,11.615,383.1,,,
1984-02-06,,,,,,9.69,11.658,380.8,,,
1984-02-07,,,,,,9.69,11.685,379.75,,,
1984-02-08,,,,,,9.57,11.707,386.25,,,
1984-02-09,,,,,,9.49,11.712,383.0,,,
1984-02-10,,,,,,9.44,11.799,377.65,,,
1984-02-13,,,,,,9.41,,376.85,,,
1984-02-14,,,,,,9.67,11.799,376.0,,,
1984-02-15,,,,,,9.83,11.794,383.0,,,
1984-02-16,,,,,,9.64,11.843,383.9,,,
1984-02-17,,,,,,9.56,11.888,382.15,,,
1984-02-20,,,,,,9.56,,385.25,,,
1984-02-21,,,,,,9.64,11.877,395.25,,,
1984-02-22,,,,,,9.67,11.943,395.25,,,
