ticker,LF98TRUU Index,SPX Index,NG1 COMB Comdty,CCMP Index,XAU Curncy,CL1 COMB Comdty,HG1 COMB Comdty,INDU Index,SXXP Index,SHCOMP Index,LBUSTRUU Index
field,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST
date,,,,,,,,,,,
1952-04-09,,23.94,,,,,,265.03,,,
1952-04-10,,24.11,,,,,,265.75,,,
1952-04-11,,,,,,,,265.75,,,
1952-04-14,,23.95,,,,,,264.09,,,
1952-04-15,,23.65,,,,,,261.28,,,
1952-04-16,,23.58,,,,,,261.47,,,
1952-04-17,,23.41,,,,,,259.84,,,
1952-04-18,,23.5,,,,,,260.51,,,
1952-04-21,,23.69,,,,,,261.62,,,
1952-04-22,,23.58,,,,,,261.09,,,
1952-04-23,,23.48,,,,,,259.96,,,
1952-04-24,,23.43,,,,,,258.85,,,
1952-04-25,,23.54,,,,,,259.79,,,
1952-04-28,,23.55,,,,,,259.94,,,
1952-04-29,,23.49,,,,,,259.33,,,
1952-04-30,,23.32,,,34.6,,,257.62,,,
1952-05-01,,23.17,,,,,,256.34,,,
1952-05-02,,23.56,,,,,,260.0,,,
1952-05-05,,23.66,,,,,,261.53,,,
1952-05-06,,23.67,,,,,,261.0,,,
1952-05-07,,23.81,,,,,,261.98,,,
1952-05-08,,23.86,,,,,,262.38,,,
1952-05-09,,23.84,,,,,,262.73,,,
1952-05-12,,23.75,,,,,,261.71,,,
1952-05-13,,23.78,,,,,,261.98,,,
1952-05-14,,23.68,,,,,,260.98,,,
1952-05-15,,23.6,,,,,,260.09,,,
1952-05-16,,23.56,,,,,,259.81,,,
1952-05-19,,23.61,,,,,,260.05,,,
1952-05-20,,23.74,,,,,,261.25,,,
1952-05-21,,23.78,,,,,,261.77,,,
1952-05-22,,23.91,,,,,,263.32,,,
1952-05-23,,23.89,,,,,,263.26,,,
1952-05-26,,23.94,,,,,,264.21,,,
1952-05-27,,23.88,,,,,,263.91,,,
1952-05-28,,23.84,,,,,,262.77,,,
1952-05-29,,23.86,,,,,,262.93,,,
1952-05-30,,,,,34.6,,,,,,
1952-06-02,,23.8,,,,,,262.3,,,
1952-06-03,,23.78,,,,,,262.08,,,
1952-06-04,,23.95,,,,,,263.66,,,
1952-06-05,,24.1,,,,,,266.28,,,
1952-06-06,,24.26,,,,,,268.02,,,
1952-06-09,,24.37,,,,,,269.14,,,
1952-06-10,,24.23,,,,,,267.66,,,
1952-06-11,,24.31,,,,,,267.92,,,
1952-06-12,,24.31,,,,,,267.9,,,
1952-06-13,,24.37,,,,,,268.55,,,
1952-06-16,,24.3,,,,,,267.82,,,
1952-06-17,,24.33,,,,,,268.02,,,
1952-06-18,,24.43,,,,,,267.08,,,
1952-06-19,,24.51,,,,,,269.53,,,
1952-06-20,,24.59,,,,,,270.18,,,
1952-06-23,,24.56,,,,,,269.5,,,
1952-06-24,,24.6,,,,,,269.91,,,
1952-06-25,,24.66,,,,,,270.44,,,
1952-06-26,,24.75,,,,,,271.23,,,
1952-06-27,,24.83,,,,,,272.43,,,
1952-06-30,,24.96,,,34.6,,,274.25,,,
1952-07-01,,25.12,,,,,,275.45,,,
1952-07-02,,25.06,,,,,,274.86,,,
1952-07-03,,25.05,,,,,,274.94,,,
1952-07-04,,,,,,,,274.94,,,
1952-07-07,,24.97,,,,,,274.19,,,
1952-07-08,,24.96,,,,,,274.42,,,
1952-07-09,,24.86,,,,,,273.25,,,
1952-07-10,,24.81,,,,,,272.57,,,
1952-07-11,,24.98,,,,,,274.21,,,
1952-07-14,,25.03,,,,,,275.07,,,
1952-07-15,,25.16,,,,,,276.75,,,
1952-07-16,,25.16,,,,,,276.75,,,
1952-07-17,,25.05,,,,,,275.61,,,
1952-07-18,,24.85,,,,,,273.89,,,
1952-07-21,,24.95,,,,,,274.9,,,
1952-07-22,,25.0,,,,,,275.94,,,
1952-07-23,,25.11,,,,,,277.62,,,
1952-07-24,,25.24,,,,,,279.25,,,
1952-07-25,,25.16,,,,,,277.7,,,
1952-07-28,,25.2,,,,,,277.93,,,
1952-07-29,,25.26,,,,,,278.56,,,
1952-07-30,,25.37,,,,,,279.23,,,
1952-07-31,,25.4,,,34.6,,,279.55,,,
1952-08-01,,25.45,,,,,,279.79,,,
1952-08-04,,25.43,,,,,,279.86,,,
1952-08-05,,25.46,,,,,,279.5,,,
1952-08-06,,25.44,,,,,,279.06,,,
1952-08-07,,25.52,,,,,,279.37,,,
1952-08-08,,25.55,,,,,,279.83,,,
1952-08-11,,25.52,,,,,,280.28,,,
1952-08-12,,25.31,,,,,,278.13,,,
1952-08-13,,25.28,,,,,,277.87,,,
1952-08-14,,25.28,,,,,,277.75,,,
1952-08-15,,25.2,,,,,,277.36,,,
1952-08-18,,24.94,,,,,,274.3,,,
1952-08-19,,24.89,,,,,,274.13,,,
1952-08-20,,24.95,,,,,,274.34,,,
1952-08-21,,24.98,,,,,,274.44,,,
1952-08-22,,24.99,,,,,,274.42,,,
1952-08-25,,24.87,,,,,,273.56,,,
1952-08-26,,24.83,,,,,,273.16,,,
1952-08-27,,24.94,,,,,,273.83,,,
1952-08-28,,24.97,,,,,,274.4,,,
1952-08-29,,25.03,,,34.6,,,275.03,,,
1952-09-02,,25.15,,,,,,276.39,,,
1952-09-03,,25.25,,,,,,277.14,,,
1952-09-04,,25.24,,,,,,276.75,,,
1952-09-05,,25.21,,,,,,276.5,,,
1952-09-08,,25.11,,,,,,275.86,,,
1952-09-09,,24.86,,,,,,273.52,,,
1952-09-10,,24.69,,,,,,271.64,,,
